Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
39	,35	,6.05741720833	,0.0633257779732	0.999961	,10.7330970764
227	,2	,0.224786836334	,0.646393076975	0.999773	,13.551017046
388	,1	,0.321757948783	,0.786907449538	0.999612	,15.9232940674
542	,1	,0.335357260949	,0.456069494244	0.999458	,18.1351020336
762	,2	,0.849254598143	,0.673734662366	0.999238	,21.4711060524
930	,1	,1.13389354479	,0.654258542468	0.99907	,23.9318640232
1183	,2	,2.61344762053	,1.11563782252	0.998817	,27.7954750061
1346	,1	,1.85694450699	,0.51303708394	0.998654	,30.0870099068
1485	,0	,1.59854517598	,0.449944202353	0.998515	,32.2099928856
1613	,0	,1.84488020372	,0.681105037904	0.998387	,34.0231349468
1748	,0	,1.6254943423	,0.465519971756	0.998252	,35.9069139957
1928	,1	,1.90102728829	,0.40516936439	0.998072	,38.4095659256
2079	,0	,1.41660617385	,0.342563398443	0.997921	,40.5433440208
2233	,1	,1.48891251069	,0.435288663361	0.997767	,42.8132069111
2373	,0	,1.43101930153	,0.388557580568	0.997627	,45.0337319374
2626	,3	,2.46710912697	,0.6225452942	0.997374	,48.5571200848
2838	,2	,2.16999369068	,0.698871458584	0.997162	,51.525108099
2968	,0	,1.40919829998	,0.341395165064	0.997032	,53.3243360519
3163	,1	,2.25550706917	,0.744828611474	0.996837	,56.0380051136
3325	,1	,1.89037673455	,0.574087714142	0.996675	,58.3471660614
3492	,1	,1.71414585039	,0.51209868674	0.996508	,61.0923769474
3804	,4	,3.20724965958	,0.793690693901	0.996196	,65.7162339687
3965	,1	,1.6199621954	,0.419893162702	0.996035	,67.9785509109
4179	,2	,2.42376671219	,0.853017254465	0.995821	,71.1614899635
4527	,5	,4.2215453065	,1.41079733461	0.995473	,76.492552042
4770	,2	,3.0162187526	,0.9770847078	0.99523	,80.4757020473
4935	,1	,1.97810824029	,0.543749548702	0.995065	,83.0900990963
5151	,2	,2.55876117712	,0.821901759435	0.994849	,86.3715009689
5357	,2	,2.30534936767	,0.71387338047	0.994643	,89.5051109791
5501	,0	,1.62781749619	,0.481624417107	0.994499	,91.6466200352
5703	,2	,2.47335330723	,0.790396369994	0.994297	,94.7291479111
5846	,0	,1.48866231879	,0.326871824921	0.994154	,96.9823029041
6004	,1	,1.80569752911	,0.590076233861	0.993996	,99.191906929
6187	,1	,1.87097072555	,0.513190598139	0.993813	,101.960937023
6314	,0	,1.61820786539	,0.604092427089	0.993686	,104.114440918
6444	,0	,1.67863634415	,0.542401991228	0.993556	,106.201724052
